"GroupAcc","GroupAccID","GroupDon","GroupDonID","wHB","fixed"
"ACH",3,"CHCL3",50,0.4108651354,1
"ACH",3,"CH3OH",106,0.6689210707,1
"ACH",3,"CH2OH",206,0.26820000000000005,1
"ACH",3,"H2O",16,0.2145902613,1

"CH3COCH3",109,"CHCL3",50,1.1040382144,1
"CH3COCH3",109,"CH3OH",106,0.5751976639,1
"CH3COCH3",109,"CH2OH",206,0.3127513014,1
"CH3COCH3",109,"H2O",16,4.6463348442,1

"CH2CHO",110,"CH2OH",206,4.1803156517,1
"CH2CHO",110,"H2O",16,4.0761125257,1

"CH3COOCH3",111,"CHCL3",50,1.7310463656,1
"CH3COOCH3",111,"CH2OH",206,1.100279604,1
"CH3COOCH3",111,"H2O",16,5.2350644051,1

"CH3OCH2",113,"CHCL3",50,2.9950801739,1
"CH3OCH2",113,"CH3OH",106,3.5714481213,1
"CH3OCH2",113,"CH2OH",206,2.0691132321,1
"CH3OCH2",113,"H2O",16,5.71289103,1

"c-CH2OCH2",413,"CHCL3",50,2.121917436483648,1

"Triacetin",411,"CHCL3",50,0.79484375,1
"Triacetin",411,"CH2OH",206,0.1162499999,1

"Phthalate",711,"CHCL3",50,1.0020940384,1
"Phthalate",711,"CH3OH",106,0.9565000000000006,1
"Phthalate",711,"CH2OH",206,0.203485652215,0

"N(CH2)3",116,"CH2OH",206,1.008923344240002,1
"DMSO",35,"CH2OH",206,1.9419483544,1

"CH3OH",106,"CH3OH",106,2.5756675104,1
"CH3OH",106,"CH2OH",206,1.4940567702,1
"CH3OH",106,"CHCL3",50,2.0559360758,1
"CH3OH",106,"H2O",16,5.7460156467,1

"CH2OH",206,"CH3OH",106,2.9585683106,1
"CH2OH",206,"CH2OH",206,1.9143734655,1
"CH2OH",206,"CHCL3",50,2.0196299598,1
"CH2OH",206,"H2O",16,5.3975753544,1

"H2O",16,"CH3OH",106,0.6178095686,1
"H2O",16,"CH2OH",206,0.9984564372,1
"H2O",16,"H2O",16,5.2208538844,1

"N(CH2)3",999116,"CHCL3",50,2.714065594,1
"CH3COAC3",999409,"CH3OH",106,0.1,1
"CH3COAC3",999409,"CH2OH",206,0.1,1
"CH3COAC3",999409,"H2O",16,2.55,1
"CH3COAC3",999409,"CHCL3",50,0.5,1
"c-CH2OCH2",999413,"CH2OH",206,0.044947333492710156,1
"c-CH2COCH2",999609,"CH3OH",106,0.1,1
"c-CH2COCH2",999609,"CH2OH",206,0.1,1
"c-CH2COCH2",999609,"H2O",16,2.55,1
"c-CH2COCH2",999609,"CHCL3",50,0.7835932362663667,1
"Triacetin",999411,"CH3OH",106,0.1,1
"Triacetin",999411,"H2O",16,2.55,1
"GBLactone",999511,"CH3OH",106,0.1,1
"GBLactone",999511,"CH2OH",206,0.1,1
"GBLactone",999511,"H2O",16,2.55,1
"GBLactone",999511,"CHCL3",50,0.5,1
"Phthalate",999711,"H2O",16,2.55,1
"CH2COOAC3",999911,"CH3OH",106,0.1,1
"CH2COOAC3",999911,"CH2OH",206,0.1,1
"CH2COOAC3",999911,"H2O",16,2.55,1
"c-CH2OCH2",999413,"CH3OH",106,0.1,1
"DMSO",99935,"H2O",16,3.5,1
"CH3CN",999119,"CH2OH",206,0.1,1
"CH2OH",999206,"CH3CN",119,0.1,1
"ACH",9993,"CH3CN",119,0.1,1
